rank,site_id,lat,lon,node_weight,marginal_demand_gain,cumulative_coverage
1,PK_651,30.2694321,-97.7444382,0.6011803570403913,0.0,1.0
2,PK_384,30.2707939,-97.7502441,0.5193094011138852,0.0,1.0
3,PK_12,30.2670021,-97.7480545,0.44877942474544497,0.0,1.0
4,PK_400,30.2643223,-97.7459106,0.4886696176520139,0.0,1.0
5,PK_26,30.2722073,-97.7422867,0.5053559317285021,0.0,1.0
6,PK_427,30.2680492,-97.7387695,0.4673131543216974,0.0,1.0
7,PK_1611,30.2658691,-97.7375488,0.5365375713374182,0.0,1.0
8,PK_359,30.2688885,-97.7379837,0.4370690522217267,0.0,1.0
9,PK_1281,30.2739544,-97.7377625,0.4906409065898735,0.0,1.0
10,PK_388,30.2633591,-97.7432175,0.488091571801868,0.0,1.0
11,PK_1602,30.2690849,-97.7372818,0.4255971197821985,0.0,1.0
12,PK_52,30.268158,-97.7402802,0.5225663275482623,0.0,1.0
13,PK_82,30.2695103,-97.7400208,0.4968666486110282,0.0,1.0
14,PK_397,30.2735691,-97.742775,0.5779343389884265,0.0,1.0
15,PK_54,30.2680206,-97.7394485,0.5452929390914834,0.0,1.0
16,PK_28,30.2736588,-97.7437592,0.6088320201777975,0.0,1.0
17,PK_41,30.2653408,-97.7447052,0.4507701255176483,0.0,1.0
18,PK_385,30.2709198,-97.7422943,0.6597453978569586,0.0,1.0
19,PK_428,30.2678967,-97.7382278,0.48594603604477093,0.0,1.0
20,PK_342,30.2691097,-97.7375336,0.4550432571539407,0.0,1.0
21,PK_365,30.2693539,-97.7451324,0.5801955063205954,0.0,1.0
22,PK_352,30.2678623,-97.7381058,0.4897552970811361,0.0,1.0
23,PK_371,30.2722206,-97.7468948,0.605084350903336,0.0,1.0
24,PK_90,30.2687893,-97.7422104,0.5618056354791832,0.0,1.0
25,PK_964,30.272974,-97.7437744,0.7011418790407731,0.0,1.0
26,PK_344,30.2661114,-97.7427216,0.5193985567731748,0.0,1.0
27,PK_348,30.2661438,-97.7350388,0.3713239939384657,0.0,1.0
28,PK_1605,30.2685795,-97.7368698,0.4611445636225914,0.0,1.0
29,PK_345,30.2696571,-97.748848,0.5109799963634001,0.0,1.0
30,PK_647,30.2710266,-97.7504196,0.5483350645593048,0.0,1.0
31,PK_336,30.2662849,-97.7340622,0.3210696301563281,0.0,1.0
32,PK_38,30.2659492,-97.7449341,0.47048851724952245,0.0,1.0
33,PK_57,30.2610703,-97.7379913,0.48055666238157846,0.0,1.0
34,PK_405,30.2692986,-97.7496185,0.5169549163140312,0.0,1.0
35,PK_331,30.268795,-97.7383957,0.4653759307264698,0.0,1.0
36,PK_7,30.2742882,-97.7460403,0.6978789061312417,0.0,1.0
37,PK_355,30.2691135,-97.7395325,0.48170540886743024,0.0,1.0
38,PK_410,30.2630081,-97.7421951,0.5078454570474412,0.0,1.0
39,PK_68,30.2669029,-97.7354431,0.46632761575988485,0.0,1.0
40,PK_326,30.2702389,-97.7399292,0.5340314050122694,0.0,1.0
41,PK_963,30.2726765,-97.7438889,0.7139520150330709,0.0,1.0
42,PK_378,30.2677994,-97.7445068,0.564833802004579,0.0,1.0
43,PK_395,30.2644234,-97.7378159,0.6006023680050133,0.0,1.0
44,PK_435,30.265501,-97.7442398,0.459008837822698,0.0,1.0
45,PK_40,30.2656403,-97.7446365,0.4568281435110918,0.0,1.0
46,PK_335,30.2664394,-97.734726,0.3722577554782307,0.0,1.0
47,PK_363,30.2697163,-97.745575,0.6061601717049964,0.0,1.0
48,PK_965,30.2727089,-97.7443695,0.6871501717664137,0.0,1.0
49,PK_396,30.2736969,-97.7432327,0.5931550911574729,0.0,1.0
50,PK_45,30.2638435,-97.7454376,0.47037297297697794,0.0,1.0
